FACE_ID,FILE,SUBJECT_ID,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT
1,00056475158675a7f26160c17b6643bb.jpg,-1,83.72222222222221,138.38888888888889,32.666666666666664,39.33333333333333
2,00056475158675a7f26160c17b6643bb.jpg,-1,34.388888888888886,71.05555555555556,23.333333333333332,40.666666666666664
3,00056475158675a7f26160c17b6643bb.jpg,-1,485.05555555555554,1.0555555555555556,24.666666666666664,25.333333333333332
4,0013609d9d3189887f659e1c0354ac3d.jpg,-1,25.055555555555554,114.38888888888889,31.333333333333332,44.666666666666664
5,00210c5646520304c9b950ac058d661a.jpg,625,367.6111111111111,336.6111111111111,36.11111111111111,43.22222222222222
6,00247f87096bc308c349452d2d6f70b1.jpg,1098,214.05555555555554,31.72222222222222,25.22222222222222,33.33333333333333
7,0026c4ba8119a16fc4e6c42e1ea9d9cb.jpg,-1,331.0,3.4666666666666663,38.17777777777778,19.08888888888889
8,00277e13db74abebccb2035f0e90eabe.jpg,-1,416.88888888888886,195.6888888888889,53.166666666666664,64.07777777777778
9,0029791ed650e8de3cf58a150023398f.jpg,1026,235.27777777777777,156.61111111111111,28.333333333333332,38.44444444444444
10,0029791ed650e8de3cf58a150023398f.jpg,1762,198.05555555555554,23.055555555555554,25.11111111111111,30.11111111111111
11,0029791ed650e8de3cf58a150023398f.jpg,558,37.27777777777778,171.05555555555554,29.333333333333332,40.0
12,002e2cbe8e3166addb2baf9b56dcef98.jpg,-1,307.72222222222223,338.38888888888886,34.0,45.33333333333333
13,0035a3b3d850c868faf9d8a9e5bc3066.jpg,-1,297.6111111111111,235.83333333333331,58.666666666666664,48.888888888888886
14,0035a3b3d850c868faf9d8a9e5bc3066.jpg,-1,112.72222222222221,186.5,58.22222222222222,56.0
15,0035a3b3d850c868faf9d8a9e5bc3066.jpg,1170,150.16666666666666,155.83333333333331,30.777777777777775,37.0
16,0037a2983f1128042d116f55c77b9075.jpg,-1,408.27777777777777,317.6111111111111,46.666666666666664,62.22222222222222
17,0037a2983f1128042d116f55c77b9075.jpg,1463,504.38888888888886,248.83333333333331,41.33333333333333,38.0
18,0037a2983f1128042d116f55c77b9075.jpg,-1,12.722222222222221,118.94444444444444,40.0,45.77777777777778
19,003b37864df377206aced5ce255c0b1d.jpg,-1,502.38888888888886,139.72222222222223,35.33333333333333,54.666666666666664
20,003c288648b575a390bd72969cdfb0e1.jpg,1798,359.9888888888889,272.8555555555555,37.55555555555555,41.55555555555555
21,003e5ac87f021ed99108973d87c3a26f.jpg,393,149.27777777777777,177.61111111111111,15.11111111111111,21.444444444444443
22,003e5ac87f021ed99108973d87c3a26f.jpg,649,64.38888888888889,171.5,28.11111111111111,33.55555555555556
23,0042853117ec2ce74d93da9baa55b174.jpg,-1,224.2111111111111,182.96666666666667,44.077777777777776,46.81111111111111
24,00432ef8e11b294d73fd69c55423d280.jpg,1421,435.05555555555554,184.27777777777777,22.22222222222222,27.666666666666664
25,00510fe03491d1217863950dbdd3dbc8.jpg,664,525.8333333333333,150.27777777777777,30.555555555555554,36.77777777777778
26,005183a92f1a0ee9dfb65b81da6c5b12.jpg,-1,193.61111111111111,107.38888888888889,42.666666666666664,52.44444444444444
27,005a7307c6e74602404bdbea44570ae3.jpg,-1,297.6111111111111,244.27777777777777,61.33333333333333,71.55555555555556
28,005a7307c6e74602404bdbea44570ae3.jpg,-1,307.38888888888886,131.38888888888889,55.11111111111111,68.88888888888889
29,005a7307c6e74602404bdbea44570ae3.jpg,-1,284.27777777777777,160.7222222222222,60.888888888888886,58.666666666666664
30,005a7307c6e74602404bdbea44570ae3.jpg,-1,30.944444444444443,77.6111111111111,40.44444444444444,48.888888888888886
31,0060629d1d4499ff6a2d053b355f430d.jpg,-1,510.9555555555556,261.5888888888889,47.26666666666666,57.71111111111111
32,00632a3e3bf8169487fee41c5949e161.jpg,-1,358.5,89.6111111111111,48.0,47.55555555555555
33,00632a3e3bf8169487fee41c5949e161.jpg,125,526.6111111111111,301.72222222222223,31.888888888888886,42.77777777777778
34,0063bedf8fac654abf9b36e8d372d9c4.jpg,797,426.38888888888886,175.05555555555554,28.333333333333332,34.33333333333333
35,00680fd4782b8f69c9b8e53dc9b56cd3.jpg,1274,416.16666666666663,170.5,26.888888888888886,29.888888888888886
36,00705f8a0e1331de1cadbd6326392953.jpg,-1,197.05555555555554,53.72222222222222,30.0,37.33333333333333
37,00705f8a0e1331de1cadbd6326392953.jpg,-1,259.05555555555554,159.05555555555554,38.0,46.666666666666664
38,00705f8a0e1331de1cadbd6326392953.jpg,1685,33.94444444444444,167.16666666666666,17.333333333333332,25.11111111111111
39,00705f8a0e1331de1cadbd6326392953.jpg,1105,93.72222222222221,155.05555555555554,33.44444444444444,41.44444444444444
40,00705f8a0e1331de1cadbd6326392953.jpg,1684,241.94444444444443,43.94444444444444,25.0,30.777777777777775
41,0086b162f62fbfa5c315153c8a8f052a.jpg,195,517.5222222222221,105.71111111111111,36.11111111111111,43.33333333333333
42,0086b162f62fbfa5c315153c8a8f052a.jpg,-1,131.06666666666666,94.76666666666667,35.65555555555555,52.83333333333333
